language,value_type,matrix_size,time
"python","BigInt",25,270
csharp,BigInt,25,2727
java,BigInt,25,779
"python","BigInt",50,2227
csharp,BigInt,50,17381
java,BigInt,50,6339
"python","BigInt",100,17590
csharp,BigInt,100,116899
java,BigInt,100,38850
"python","BigInt",200,144707
java,BigInt,200,258671
csharp,BigInt,200,733217
"python","Int",25,184
java,Int,25,15
csharp,Int,25,34
"python","Int",50,1343
java,Int,50,26
csharp,Int,50,238
"python","Int",100,10227
java,Int,100,106
csharp,Int,100,1830
"python","Int",200,81060
java,Int,200,734
csharp,Int,200,14258
"python","Double",25,174
java,Double,25,15
csharp,Double,25,35
"python","Double",50,1195
java,Double,50,32
csharp,Double,50,272
"python","Double",100,9579
java,Double,100,146
csharp,Double,100,1877
"python","Double",200,76584
csharp,Double,200,14707
java,Double,200,1235
